Mouse genes	Human genes
Prss23	PRSS23
Rsf1	RSF1
Thrsp	THRSP
Tmem126a	TMEM126A
Tmem126b	TMEM126B
Usp35	USP35
l7Rn6	C11orf73
Ccdc81	CCDC81
Ctsc	CTSC
Eed	EED
Fzd4	FZD4
Nox4	NOX4
Tmem135	TMEM135
Amotl1	AMOTL1
Chordc1	CHORDC1
Fat3	FAT3
Grm5	GRM5
Naalad2	NAALAD2
Rhod	RHOD
Ubtfl1	UBTFL1
Ankrd49	ANKRD49
4931406C07Rik	C11orf54
BC017612	C11orf75
Ccdc67	CCDC67
Ccdc82	CCDC82
Cep57	CEP57
Cntn5	CNTN5
Cwc15	CWC15
Dync2h1	DYNC2H1
Endod1	ENDOD1
Fam76b	FAM76B
Folr4	FOLR4
Fut4	FUT4
Gpr83	GPR83
Gucy1a2	GUCY1A2
Hephl1	HEPHL1
Jrkl	JRKL
Kdm4d	KDM4D
Kdm4dl	KDM4DL
5830418K08Rik	KIAA1731
1700012B09Rik	LOC643037
Maml2	MAML2
Mmp7	MMP7
Mre11a	MRE11A
Mtnr1b	MTNR1B
Panx1	PANX1
Piwil4	PIWIL4
Scarna9	SCARNA9
Sesn3	SESN3
Slc36a4	SLC36A4
Taf1d	TAF1D
2200002K05Rik	VSTM5
Aasdhppt	AASDHPPT
Atm	ATM
Birc2	BIRC2
Birc3	BIRC3
Ddx10	DDX10
Fdx1	FDX1
Gria4	GRIA4
Hspb2	HSPB2
8430410K20Rik	KIAA1826
Mtmr2	MTMR2
Npat	NPAT
Pgr	PGR
Sln	SLN
Tecta	TECTA
Tex12	TEX12
Arhgap42	ARHGAP42
9230110C19Rik	C11orf70
AK129341	KIAA1377
Tmem123	TMEM123
Trpc6	TRPC6
Casp4	CASP4
Il18	IL18
Acat1	ACAT1
Alkbh8	ALKBH8
Bco2	BCO2
4930550C14Rik	C11orf65
AI593442	C11orf87
Cryab	CRYAB
Cul5	CUL5
Cwf19l2	CWF19L2
Dcun1d5	DCUN1D5
Ddi1	DDI1
Elmod1	ELMOD1
Exph5	EXPH5
Grik4	GRIK4
Kbtbd3	KBTBD3
Kdelc2	KDELC2
Mmp1a	MMP1
Mmp10	MMP10
Mmp12	MMP12
Mmp13	MMP13
Mmp20	MMP20
Mmp3	MMP3
Mmp8	MMP8
Pdgfd	PDGFD
Pts	PTS
Rab39	RAB39A
Slc35f2	SLC35F2
Zc3h12c	ZC3H12C
Acrv1	ACRV1
Alg9	ALG9
Apoa1	APOA1
Apoa4	APOA4
Apoa5	APOA5
Btg4	BTG4
Casp1	CASP1
Cd3d	CD3D
Cd3e	CD3E
Cd3g	CD3G
Cdon	CDON
Drd2	DRD2
Dscaml1	DSCAML1
Fxyd2	FXYD2
Il10ra	IL10RA
Mfrp	MFRP
Mll1	MLL
Pafah1b2	PAFAH1B2
Pcsk7	PCSK7
Rdx	RDX
Rnf26	RNF26
Scn2b	SCN2B
Sdhd	SDHD
Tmprss13	TMPRSS13
Upk2	UPK2
Usp28	USP28
Vps11	VPS11
Apoc3	APOC3
Arhgap20	ARHGAP20
1110032A03Rik	C11orf1
1600029D21Rik	C11orf34
2310030G06Rik	C11orf52
1810046K07Rik	C11orf53
AU019823	C11orf57
4833427G06Rik	C11orf88
2010007H06Rik	C11orf92
Gm684	C11orf93
Dixdc1	DIXDC1
Dlat	DLAT
Fdxacb1	FDXACB1
Htr3a	HTR3A
Htr3b	HTR3B
Hyou1	HYOU1
Layn	LAYN
Gm4050	LOC644277
Ncam1	NCAM1
Nnmt	NNMT
Pih1d2	PIH1D2
Pou2af1	POU2AF1
Rbm7	RBM7
Sik2	SIK2
Timm8b	TIMM8B
Zbtb16	ZBTB16
Zfp125	ZNF125
Ankk1	ANKK1
Bace1	BACE1
Gm5617	C11orf71
Cadm1	CADM1
Cldn21	CLDN25
Fam55a	FAM55A
Fam55d	FAM55D
Ppp2r1b	PPP2R1B
Rexo2	REXO2
Sorl1	SORL1
Tagln	TAGLN
Ttc12	TTC12
Zw10	ZW10
Abcg4	ABCG4
Amica1	AMICA1
Arcn1	ARCN1
Arhgef12	ARHGEF12
Atp5l	ATP5L
Bcl9l	BCL9L
Bud13	BUD13
C1qtnf5	C1QTNF5
C2cd2l	C2CD2L
Cbl	CBL
Ccdc153	CCDC153
Ccdc84	CCDC84
Cep164	CEP164
Cxcr5	CXCR5
Ddx6	DDX6
Dpagt1	DPAGT1
Ets1	ETS1
Fam55b	FAM55B
Foxr1	FOXR1
Fxyd6	FXYD6
H2afx	H2AFX
Hinfp	HINFP
Hmbs	HMBS
Ift46	IFT46
Mcam	MCAM
Mpzl3	MPZL3
Nlrx1	NLRX1
Oaf	OAF
Pdzd3	PDZD3
Phldb1	PHLDB1
Pou2f3	POU2F3
Pvrl1	PVRL1
Rnf214	RNF214
Rps25	RPS25
Sc5d	SC5DL
Scn3b	SCN3B
Scn4b	SCN4B
Sidt2	SIDT2
Sik3	SIK3
Slc37a4	SLC37A4
Snord14c	SNORD14C
Snord14d	SNORD14D
Snord14e	SNORD14E
Stt3a	STT3A
Tbcel	TBCEL
Thy1	THY1
Tmem136	TMEM136
Tmem25	TMEM25
Tmprss4	TMPRSS4
Trappc4	TRAPPC4
Treh	TREH
Trim29	TRIM29
Ttc36	TTC36
Ube4a	UBE4A
Usp2	USP2
Zfp202	ZNF202
Zfp259	ZNF259
Aplp2	APLP2
Ddx25	DDX25
Ei24	EI24
Kcnj1	KCNJ1
Kcnj5	KCNJ5
Kirrel3	KIRREL3
Mmp27	MMP27
Mpzl2	MPZL2
Nfrkb	NFRKB
Nrgn	NRGN
Siae	SIAE
St14	ST14
Vsig2	VSIG2
Bsx	BSX
4931429I11Rik	C11orf63
9030425E11Rik	CLMP
Crtam	CRTAM
Fli1	FLI1
Gramd1b	GRAMD1B
Hspa8	HSPA8
Olfr980	OR10G4
Olfr981	OR10G6
Olfr979	OR10G9
Olfr982	OR10S1
Olfr984	OR4D5
Olfr49	OR6T1
Olfr986	OR6X1
Olfr985	OR8D4
Tmem225	TMEM225
Ubash3b	UBASH3B
Vwa5a	VWA5A
BC024479	C11orf61
Ccdc15	CCDC15
Chek1	CHEK1
Dcps	DCPS
Esam	ESAM
Fam118b	FAM118B
Fez1	FEZ1
Foxred1	FOXRED1
Hepacam	HEPACAM
Hyls1	HYLS1
Gm1113	LOC338667
Olfr959	OR10D1P
Olfr958	OR10D3
Olfr963	OR10D4P
Olfr978	OR10G7
Olfr160	OR8A1
Olfr874	OR8B12
Olfr904	OR8B1P
Olfr147	OR8B3
Olfr878	OR8B4
Olfr145	OR8B8
Olfr933	OR8D1
Olfr974	OR8D2
Olfr44	OR8G1
Olfr229	OR8G2
Olfr919	OR8G5
Panx3	PANX3
Pate2	PATE2
Pate4	PATE4
Pknox2	PKNOX2
Pus3	PUS3
Robo3	ROBO3
Robo4	ROBO4
Rpusd4	RPUSD4
Slc37a2	SLC37A2
Spa17	SPA17
Srpr	SRPR
St3gal4	ST3GAL4
Tbrg1	TBRG1
Tirap	TIRAP
Tmem218	TMEM218
Arhgap32	ARHGAP32
Gm8154	LINC00167
Tmem45b	TMEM45B
Zbtb44	ZBTB44
Acad8	ACAD8
Adamts15	ADAMTS15
Adamts8	ADAMTS8
B3gat1	B3GAT1
Barx2	BARX2
Glb1l2	GLB1L2
Glb1l3	GLB1L3
Igsf9b	IGSF9B
Jam3	JAM3
AI414108	LOC283174
Ncapd3	NCAPD3
Ntm	NTM
Opcml	OPCML
Prdm10	PRDM10
Snx19	SNX19
Spata19	SPATA19
Thyn1	THYN1
Vps26b	VPS26B
1700019N12Rik	C11orf20
Casp12	CASP12
Gm10320	LOC100287189
Gm9999	LOC100506540
Mrgprf	MRGPRF
Ms4a13	MS4A13
Gm17365	PATE3
B4galnt3	B4GALNT3
5930416I19Rik	C12orf32
Cacna2d4	CACNA2D4
Ccdc77	CCDC77
Dcp1b	DCP1B
Fbxl14	FBXL14
Fkbp4	FKBP4
Iqsec3	IQSEC3
Itfg2	ITFG2
Lrtm2	LRTM2
Nrip2	NRIP2
Tspan9	TSPAN9
Dyrk4	DYRK4
Efcab4b	EFCAB4B
Kcna1	KCNA1
Lag3	LAG3
A2m	A2M
Gm7298	A2ML1
Acrbp	ACRBP
Acsm4	ACSM4
Adipor2	ADIPOR2
Atn1	ATN1
Mug4-ps	C12orf33
C530028O21Rik	C12orf53
Grcc10	C12orf57
C1rl	C1RL
C3ar1	C3AR1
Cd4	CD4
Clec4d	CLEC4D
Clec4e	CLEC4E
Clstn3	CLSTN3
Cops7a	COPS7A
Dppa3	DPPA3
Foxj2	FOXJ2
Ing4	ING4
Klrg1	KLRG1
Clec2f-ps	LOC374443
E130112N10Rik	LOC678655
Lpar5	LPAR5
Nanog	NANOG
Necap1	NECAP1
Pex5	PEX5
Plekhg6	PLEKHG6
Gm5712	POU5F1P3
Rimklb	RIMKLB
Scarna10	SCARNA10
Spsb2	SPSB2
Tapbpl	TAPBPL
Akap3	AKAP3
Ano2	ANO2
D6Wsu163e	C12orf4
9630033F20Rik	C12orf5
Cacna1c	CACNA1C
Cd163	CD163
Cd9	CD9
Emg1	EMG1
Erc1	ERC1
Fgf23	FGF23
Gprc5d	GPRC5D
Iffo1	IFFO1
Mrpl51	MRPL51
Ncapd2	NCAPD2
Ndufa9	NDUFA9
Parp11	PARP11
Prmt8	PRMT8
Ptpro	PTPRO
Slc2a3	SLC2A3
Slc6a13	SLC6A13
Tead4	TEAD4
Tulp3	TULP3
Vwf	VWF
Wnk1	WNK1
Wnt5b	WNT5B
D630042F21Rik	C12orf59
Clec12a	CLEC12A
Clec12b	CLEC12B
Clec1a	CLEC1A
Clec1b	CLEC1B
Clec4b2	CLEC4C
Clec7a	CLEC7A
Clec9a	CLEC9A
Gabarapl1	GABARAPL1
Klra2	KLRAP1
Klrk1	KLRK1
2700089E24Rik	LOC100129361
Lrp6	LRP6
Magohb	MAGOHB
Mansc1	MANSC1
Olr1	OLR1
Prb1	PRB1
Prh1	PRH1
Rad51ap1	RAD51AP1
Styk1	STYK1
Tas2r120	TAS2R20
Tas2r136	TAS2R31
Tnfrsf1a	TNFRSF1A
Apobec1	APOBEC1
Apold1	APOLD1
Atf7ip	ATF7IP
Cdkn1b	CDKN1B
Csda	CSDA
Ddx47	DDX47
Gdf3	GDF3
Gsg1	GSG1
Hebp1	HEBP1
8430419L09Rik	KIAA1467
Mfap5	MFAP5
Plbd1	PLBD1
Aicda	AICDA
Art4	ART4
Bcl2l14	BCL2L14
C1ra	C1R
Gm5077	C1S
Ccnd2	CCND2
Cd27	CD27
Cd69	CD69
Cdca3	CDCA3
Chd4	CHD4
Clec4a2	CLEC4A
Crebl2	CREBL2
Dusp16	DUSP16
Eno2	ENO2
Etv6	ETV6
Fgf6	FGF6
Foxm1	FOXM1
Gapdh	GAPDH
Gnb3	GNB3
Gpr162	GPR162
Gprc5a	GPRC5A
Kcna5	KCNA5
Kcna6	KCNA6
Klrb1	KLRB1
Klrc1	KLRC1
Klrc2	KLRC2
Klrc3	KLRC3
Klrd1	KLRD1
Lpcat3	LPCAT3
Lrrc23	LRRC23
Ltbr	LTBR
M6pr	M6PR
Mlf2	MLF2
Ninj2	NINJ2
Nop2	NOP2
Ntf3	NTF3
BC048546	OVOS
Pde6h	PDE6H
Phb2	PHB2
Phc1	PHC1
Ptms	PTMS
Ptpn6	PTPN6
Pzp	PZP
Rad52	RAD52
Scnn1a	SCNN1A
Slc6a12	SLC6A12
Tas2r107	TAS2R10
Tas2r121	TAS2R13
Tas2r140	TAS2R14
Tas2r131	TAS2R42
Tas2r130	TAS2R7
Tpi1	TPI1
Usp5	USP5
Aebp2	AEBP2
Arhgdib	ARHGDIB
BC049715	C12orf60
C030030A07Rik	C12orf69
Capza3	CAPZA3
Dera	DERA
Emp1	EMP1
Eps8	EPS8
Erp27	ERP27
Gpr19	GPR19
H2afj	H2AFJ
Hist4h4	HIST4H4
Lmo3	LMO3
Mgp	MGP
Mgst1	MGST1
Plcz1	PLCZ1
Rassf8	RASSF8
Rerg	RERG
Rergl	RERGL
Slc15a5	SLC15A5
Strap	STRAP
Wbp11	WBP11
Arntl2	ARNTL2
Gys2	GYS2
Ldhb	LDHB
Slco1c1	SLCO1C1
Abcc9	ABCC9
Bcat1	BCAT1
Bhlhe41	BHLHE41
B230216G23Rik	C12orf39
Casc1	CASC1
Cmas	CMAS
Etnk1	ETNK1
Golt1b	GOLT1B
Iapp	IAPP
Ifltd1	IFLTD1
5730419I09Rik	KIAA0528
Kras	KRAS
Lrmp	LRMP
Lyrm5	LYRM5
Ppfibp1	PPFIBP1
Pthlh	PTHLH
Pyroxd1	PYROXD1
Sox5	SOX5
St8sia1	ST8SIA1
Grin2b	GRIN2B
Gucy2c	GUCY2C
Loh12cr1	LOH12CR1
Pde3a	PDE3A
Pik3c2g	PIK3C2G
Plekha5	PLEKHA5
Recql	RECQL
Slco1a4	SLCO1A2
Slco1b2	SLCO1B3
4933424B01Rik	ASUN
1700023A16Rik	C12orf70
1700034J05Rik	C12orf71
Fgfr1op2	FGFR1OP2
Kcnj8	KCNJ8
Med21	MED21
Stk38l	STK38L
Ccdc91	CCDC91
Ergic2	ERGIC2
Far2	FAR2
Klhdc5	KLHDC5
Rep15	REP15
Tmtc1	TMTC1
Amn1	AMN1
2810474O19Rik	C12orf35
Dennd5b	DENND5B
Dnm1l	DNM1L
Fgd4	FGD4
3010003L21Rik	FLJ13224
Ipo8	IPO8
4833442J19Rik	METTL20
Tspan11	TSPAN11
Yars2	YARS2
Bicd1	BICD1
Sspn	SSPN
Alg10b	ALG10
Syt10	SYT10
Caprin2	CAPRIN2
Ddx11	DDX11
Fam60a	FAM60A
Itpr2	ITPR2
Kdm5a	KDM5A
Mrps35	MRPS35
Pkp2	PKP2
Vamp1	VAMP1
Syt1	SYT1
2210016L21Rik	C12orf43
Chpt1	CHPT1
Chst11	CHST11
Espl1	ESPL1
Glt8d2	GLT8D2
Kcnmb4	KCNMB4
Mucl1	MUCL1
Prpf40b	PRPF40B
Sirt4	SIRT4
Slc38a2	SLC38A2
Socs2	SOCS2
Sycp3	SYCP3
Taok3	TAOK3
Trafd1	TRAFD1
Abcd2	ABCD2
Acvrl1	ACVRL1
Cntn1	CNTN1
Itga5	ITGA5
Tm7sf3	TM7SF3
Accn2	ACCN2
Adamts20	ADAMTS20
Adcy6	ADCY6
Ano6	ANO6
Aqp2	AQP2
Arid2	ARID2
CN725425	C12orf40
Cd63	CD63
Cpne8	CPNE8
Dazap2	DAZAP2
Dbx2	DBX2
Gpd1	GPD1
Gxylt1	GXYLT1
Hoxc	HOXC@
Irak4	IRAK4
Kif21a	KIF21A
Lrrk2	LRRK2
Nell2	NELL2
Pdzrn4	PDZRN4
Pfdn5	PFDN5
Pphln1	PPHLN1
Prickle1	PRICKLE1
Prkag1	PRKAG1
Prph	PRPH
Prr13	PRR13
Pus7l	PUS7L
Rnd1	RND1
Scaf11	SCAF11
Shmt2	SHMT2
Slc2a13	SLC2A13
Tarbp2	TARBP2
Timeless	TIMELESS
Tmbim6	TMBIM6
Tmem117	TMEM117
Twf1	TWF1
Yaf2	YAF2
Zcrb1	ZCRB1
Aaas	AAAS
Acvr1b	ACVR1B
Amhr2	AMHR2
Aqp5	AQP5
Aqp6	AQP6
Arf3	ARF3
Atf1	ATF1
Atf7	ATF7
Bin2	BIN2
Bloc1s1	BLOC1S1
Myg1	C12orf10
Cacnb3	CACNB3
Cdk2	CDK2
Cela1	CELA1
Erbb3	ERBB3
Faim2	FAIM2
Galnt6	GALNT6
Gls2	GLS2
Hsd17b6	HSD17B6
Igfbp6	IGFBP6
Ikzf4	IKZF4
Itga7	ITGA7
Kcnh3	KCNH3
Krt18	KRT18
Krt75	KRT75
Krt8	KRT8
Krt81	KRT81
Krt82	KRT82
Krt83	KRT83
Krt84	KRT84
Krt85	KRT85
Krt86	KRT86
Lalba	LALBA
Leprel2	LEPREL2
Lima1	LIMA1
Lrp1	LRP1
Map3k12	MAP3K12
Mars	MARS
Mettl1	METTL1
Mip	MIP
Myo1a	MYO1A
Nfe2	NFE2
Nr4a1	NR4A1
Os9	OS9
Pde1b	PDE1B
Pmel	PMEL
Prim1	PRIM1
Rab5b	RAB5B
Rarg	RARG
Rdh5	RDH5
Rpl41	RPL41
Rps26	RPS26
Scn8a	SCN8A
Slc11a2	SLC11A2
Slc16a7	SLC16A7
Slc26a10	SLC26A10
Slc38a4	SLC38A4
Smarcd1	SMARCD1
Stat6	STAT6
Tac2	TAC3
Tfcp2	TFCP2
Wnt1	WNT1
Wnt10b	WNT10B
Yeats4	YEATS4
Cyp27b1	CYP27B1
Ddit3	DDIT3
Dhh	DHH
Endou	ENDOU
Hdac7	HDAC7
Hnrnpa1	HNRNPA1
Inhbc	INHBC
Nckap1l	NCKAP1L
Rapgef3	RAPGEF3
Senp1	SENP1
Sp1	SP1
Tmem106c	TMEM106C
Amigo2	AMIGO2
Asb8	ASB8
1700031M16Rik	C12orf54
AI836003	C12orf68
Ccnt1	CCNT1
Col2a1	COL2A1
Csad	CSAD
Csrnp2	CSRNP2
Fam113b	FAM113B
H1fnt	H1FNT
2310037I24Rik	KANSL2
Olfr287	OR10AD1
Rpap3	RPAP3
Slc38a1	SLC38A1
Slc48a1	SLC48A1
Smug1	SMUG1
Snora2b	SNORA2B
Snora34	SNORA34
Vdr	VDR
Zfp641	ZNF641
Bcdin3d	BCDIN3D
2310016M24Rik	C12orf62
C1ql4	C1QL4
Ccdc65	CCDC65
Lass5	CERS5
Ddn	DDN
Ddx23	DDX23
Dip2b	DIP2B
Dnajc22	DNAJC22
Fam186a	FAM186A
Fam186b	FAM186B
Fkbp11	FKBP11
Fmnl3	FMNL3
Higd1c	HIGD1C
Larp4	LARP4
Letmd1	LETMD1
Lmbr1l	LMBR1L
4930415O20Rik	LOC255411
Mcrs1	MCRS1
Mettl7a1	METTL7A
Mll2	MLL2
Nckap5l	NCKAP5L
Pcbp2	PCBP2
Racgap1	RACGAP1
Rhebl1	RHEBL1
Spats2	SPATS2
Tmprss12	TMPRSS12
Troap	TROAP
Tuba1a	TUBA1A
Tuba1b	TUBA1B
Tuba1c	TUBA1C
Ankrd33	ANKRD33
Atp5b	ATP5B
Atp5g2	ATP5G2
9430023L20Rik	C12orf44
Calcoco1	CALCOCO1
Cbx5	CBX5
Eif4b	EIF4B
Fignl2	FIGNL2
Gpr84	GPR84
Grasp	GRASP
Gtsf1	GTSF1
Hoxc12	HOXC12
Itgb7	ITGB7
Kif5a	KIF5A
Krt1	KRT1
Krt2	KRT2
Krt4	KRT4
Krt5	KRT5
Krt6a	KRT6A
Krt6b	KRT6B
Krt7	KRT7
Krt71	KRT71
Krt72-ps	KRT72
Krt74	KRT74
Krt76	KRT76
Krt77	KRT77
Krt78	KRT78
Krt79	KRT79
Krt80	KRT80
Gm10830	LOC400043
Mfsd5	MFSD5
Myl6b	MYL6B
Npff	NPFF
Pou6f1	POU6F1
Rnf41	RNF41
Slc4a8	SLC4A8
Smagp	SMAGP
Soat2	SOAT2
Sp7	SP7
Spryd3	SPRYD3
Tenc1	TENC1
Zfp385a	ZNF385A
Zfp740	ZNF740
Copz1	COPZ1
Cs	CS
Dnajc14	DNAJC14
Esyt1	ESYT1
Gdf11	GDF11
Gli1	GLI1
Glycam1	GLYCAM1
5830405N20Rik	KIAA0748
Mettl7b	METTL7B
Myl6	MYL6
Neurod4	NEUROD4
Olfr796	OR10P1
Olfr786	OR6C1
Olfr791	OR6C2
Olfr788	OR6C3
Olfr804	OR6C6
Olfr808	OR6C65
Olfr780	OR6C68
Olfr821	OR6C74
Olfr790	OR6C75
Olfr809	OR6C76
Olfr827	OR9K1P
Olfr825	OR9K2
Ormdl2	ORMDL2
Pa2g4	PA2G4
Pan2	PAN2
Ppp1r1a	PPP1R1A
Sarnp	SARNP
Smarcc2	SMARCC2
Suox	SUOX
Wibg	WIBG
Zc3h10	ZC3H10
Ankrd52	ANKRD52
Apof	APOF
Arhgap9	ARHGAP9
Arhgef25	ARHGEF25
B4galnt1	B4GALNT1
Baz2a	BAZ2A
Coq10a	COQ10A
Dctn2	DCTN2
Dgka	DGKA
Dtx3	DTX3
Gpr182	GPR182
Hoxc10	HOXC10
Hoxc11	HOXC11
Hoxc13	HOXC13
Hoxc4	HOXC4
Hoxc5	HOXC5
Hoxc6	HOXC6
Hoxc8	HOXC8
Hoxc9	HOXC9
Il23a	IL23A
Inhbe	INHBE
Krt73	KRT73
Nab2	NAB2
Ndufa4l2	NDUFA4L2
Nxph4	NXPH4
Obfc2b	OBFC2B
Pfkm	PFKM
Pip4k2c	PIP4K2C
Ptges3	PTGES3
R3hdm2	R3HDM2
Rbms2	RBMS2
Rdh1	RDH16
Sdr9c7	SDR9C7
Slc39a5	SLC39A5
Spryd4	SPRYD4
Stac3	STAC3
Stat2	STAT2
Tmem194	TMEM194A
Tspan31	TSPAN31
Zbtb39	ZBTB39
Avpr1a	AVPR1A
Cand1	CAND1
Cdk4	CDK4
Gns	GNS
Ifng	IFNG
Lemd3	LEMD3
Mmp19	MMP19
Osbpl8	OSBPL8
Rap1b	RAP1B
Usp15	USP15
Agap2	AGAP2
Avil	AVIL
Caps2	CAPS2
Ctdsp2	CTDSP2
Fam19a2	FAM19A2
Kcnc2	KCNC2
Lrig3	LRIG3
March9	MARCH9
Fam119b	METTL21B
Mon2	MON2
Ppm1h	PPM1H
Tbk1	TBK1
Tmbim4	TMBIM4
Tsfm	TSFM
Tspan8	TSPAN8
Xrcc6bp1	XRCC6BP1
Best3	BEST3
D930020B18Rik	C12orf56
BC048403	C12orf66
Rassf3	RASSF3
Srgap1	SRGAP1
Tmem5	TMEM5
Xpot	XPOT
Cpm	CPM
Grip1	GRIP1
Helb	HELB
Irak3	IRAK3
Llph	LLPH
Mdm2	MDM2
Msrb3	MSRB3
Nav3	NAV3
Rab3ip	RAB3IP
Rpsa-ps9	RPSAP52
Tbc1d30	TBC1D30
Wif1	WIF1
Gm239	C12orf28
Cct2	CCT2
Cnot2	CNOT2
Cnpy2	CNPY2
Cpsf6	CPSF6
Dyrk2	DYRK2
Frs2	FRS2
Hmga2	HMGA2
Il22	IL22
Lrrc10	LRRC10
Mdm1	MDM1
Nup107	NUP107
Phlda1	PHLDA1
Ppp1r12a	PPP1R12A
Ptprb	PTPRB
Ptprr	PTPRR
Slc35e3	SLC35E3
Trhde	TRHDE
Atxn7l3b	ATXN7L3B
Epyc	EPYC
Lin7a	LIN7A
Mgat4c	MGAT4C
Myf5	MYF5
Myf6	MYF6
Nts	NTS
Nudt4	NUDT4
Pawr	PAWR
Pepb	PEPB
Csrp2	CSRP2
Rab21	RAB21
Tbc1d15	TBC1D15
Thap2	THAP2
Tmem19	TMEM19
Tph2	TPH2
Zfc3h1	ZFC3H1
Bbs10	BBS10
E2f7	E2F7
Glipr1	GLIPR1
Glipr1l1	GLIPR1L1
Glipr1l2	GLIPR1L2
Krr1	KRR1
Nap1l1	NAP1L1
Ptprq	PTPRQ
Zdhhc17	ZDHHC17
Atp2b1	ATP2B1
Lum	LUM
Slc6a15	SLC6A15
Acss3	ACSS3
Alx1	ALX1
BC067068	C12orf26
Ccdc59	CCDC59
Lrriq1	LRRIQ1
Otogl	OTOGL
Ppfia2	PPFIA2
Rassf9	RASSF9
Tmtc2	TMTC2
4930430F08Rik	C12orf29
1700017N19Rik	C12orf50
Cep290	CEP290
Tmtc3	TMTC3
4921510H08Rik	C12orf12
Cradd	CRADD
Dcn	DCN
Galnt4	GALNT4
Poc1b	POC1B
Btg1	BTG1
Ccdc41	CCDC41
Dusp6	DUSP6
Eea1	EEA1
Fgd6	FGD6
Hal	HAL
Kera	KERA
Kitl	KITLG
Lgr5	LGR5
4932415G12Rik	LOC144486
Lta4h	LTA4H
Metap2	METAP2
Mrpl42	MRPL42
Ndufa12	NDUFA12
Nfyb	NFYB
Nr2c1	NR2C1
Nt5dc3	NT5DC3
Ntn4	NTN4
Pah	PAH
Tmcc3	TMCC3
Tmpo	TMPO
Ube2n	UBE2N
Usp44	USP44
Vezt	VEZT
Apaf1	APAF1
Cry1	CRY1
Elk3	ELK3
Naca	NACA
Pla2g1b	PLA2G1B
Prdm4	PRDM4
Rasal1	RASAL1
Slc25a3	SLC25A3
Txnrd1	TXNRD1
Ung	UNG
Utp20	UTP20
Actr6	ACTR6
Amdhd1	AMDHD1
Anks1b	ANKS1B
Ano4	ANO4
4930485B16Rik	C12orf63
Ccdc38	CCDC38
Cdk17	CDK17
Gas2l3	GAS2L3
Ikbip	IKBIP
Nedd1	NEDD1
Nr1h4	NR1H4
Scyl2	SCYL2
Slc17a8	SLC17A8
Slc5a8	SLC5A8
Snrpf	SNRPF
Uhrf1bp1l	UHRF1BP1L
Arl1	ARL1
Ascl1	ASCL1
1700113H08Rik	C12orf42
Ccdc53	CCDC53
Dram1	DRAM1
Gnptab	GNPTAB
Igf1	IGF1
Mybpc1	MYBPC1
Nup37	NUP37
4930547N16Rik	PARPBP
Pmch	PMCH
Spic	SPIC
Aldh1l2	ALDH1L2
Ascl4	ASCL4
Btbd11	BTBD11
AI597468	C12orf23
D10Wsu102e	C12orf45
1190007I07Rik	C12orf73
1500009L16Rik	C12orf75
Ckap4	CKAP4
Eid3	EID3
BC030307	GNN
Hcfc2	HCFC2
Nuak1	NUAK1
Plxnc1	PLXNC1
Polr3b	POLR3B
Pwp1	PWP1
Ric8b	RIC8B
Slc41a2	SLC41A2
Stab2	STAB2
Tcp11l2	TCP11L2
Tmem119	TMEM119
Wscd2	WSCD2
Abcb9	ABCB9
B3gnt4	B3GNT4
Brap	BRAP
Cit	CIT
Dao	DAO
Hip1r	HIP1R
Hpd	HPD
Lhx5	LHX5
Mmab	MMAB
Msi1	MSI1
Mvk	MVK
Ncor2	NCOR2
P2rx7	P2RX7
Ptpn11	PTPN11
Rfx4	RFX4
Selplg	SELPLG
Sh2b3	SH2B3
Vps29	VPS29
Appl2	APPL2
Atxn2	ATXN2
Cmklr1	CMKLR1
Coro1c	CORO1C
Ficd	FICD
Git2	GIT2
Iscu	ISCU
Mterfd3	MTERFD3
Ppp1cc	PPP1CC
Prkab1	PRKAB1
Rpl6	RPL6
Sart3	SART3
Tbx3	TBX3
Tbx5	TBX5
Tdg	TDG
Trpv4	TRPV4
Acacb	ACACB
Alkbh2	ALKBH2
Anapc7	ANAPC7
Ankrd13a	ANKRD13A
Arpc3	ARPC3
Atp2a2	ATP2A2
1500011H22Rik	C12orf24
BC057022	C12orf34
Ccdc63	CCDC63
Foxn4	FOXN4
Gltp	GLTP
Gpn3	GPN3
Hvcn1	HVCN1
Kctd10	KCTD10
A230046K03Rik	KIAA1033
Myl2	MYL2
Myo1h	MYO1H
Pptc7	PPTC7
Rad9b	RAD9B
Ssh1	SSH1
Svop	SVOP
Tchp	TCHP
Tctn1	TCTN1
Ube3b	UBE3B
Usp30	USP30
Acad10	ACAD10
Cux2	CUX2
Fam109a	FAM109A
Bcl7a	BCL7A
1110008J03Rik	C12orf52
Ccdc42b	CCDC42B
Ddx54	DDX54
Dtx1	DTX1
Erp29	ERP29
Gm15800	FLJ30092
Ift81	IFT81
Iqcd	IQCD
Mapkapk5	MAPKAPK5
Naa25	NAA25
Plbd2	PLBD2
Rph3a	RPH3A
Sds	SDS
Sdsl	SDSL
Slc24a6	SLC24A6
Tmem116	TMEM116
Tpcn1	TPCN1
Aldh2	ALDH2
Camkk2	CAMKK2
Cox6a1	COX6A1
Gcn1l1	GCN1L1
Hnf1a	HNF1A
Hsp90b1	HSP90B1
Nos1	NOS1
Oas1g	OAS1
Oas2	OAS2
Oas3	OAS3
Oasl1	OASL
Rplp0	RPLP0
Med13l	MED13L
Rbm19	RBM19
2410131K14Rik	C12orf49
